state,month,aqi_value
Andhra Pradesh,2023-01,121.22950819672131
Andhra Pradesh,2023-02,118.80975609756098
Andhra Pradesh,2025-01,114.1859296482412
Bihar,2022-12,339.76820208023776
Bihar,2023-01,325.8763523956723
Bihar,2022-11,274.0014705882353
Haryana,2023-11,265.60057887120115
Haryana,2024-11,232.42410714285714
Haryana,2022-11,219.87958883994125
Karnataka,2023-02,89.73776223776224
Karnataka,2023-01,82.8302752293578
Karnataka,2022-11,80.91065830721003
Madhya Pradesh,2023-11,171.8949880668258
Madhya Pradesh,2024-11,164.2283105022831
Madhya Pradesh,2022-11,157.8082191780822
Maharashtra,2023-01,177.18352059925093
Maharashtra,2022-12,176.70833333333334
Maharashtra,2022-11,163.34274193548387
Odisha,2024-01,211.3184713375796
Odisha,2023-01,201.27737226277372
Odisha,2023-12,182.77901785714286
Rajasthan,2023-11,222.74413646055436
Rajasthan,2024-01,196.88092835519677
Rajasthan,2023-12,192.05668016194332
Tamil Nadu,2023-02,107.48096885813149
Tamil Nadu,2023-01,104.20597014925373
Tamil Nadu,2022-12,90.43589743589743
Uttar Pradesh,2023-11,215.22390572390572
Uttar Pradesh,2022-04,195.69140625
Uttar Pradesh,2024-11,195.20637583892616
